frame_start,frame_end,transformation,translation_x,translation_y,matrix_00,matrix_01,matrix_10,matrix_11,mean_error,inliers_or_points
0,32,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.0521276518702507,131
0,32,translation,-0.02595476433634758,-0.025315601378679276,1.0,0.0,0.0,1.0,0.038921110332012177,131
0,32,similarity_ransac,-0.06841042637825012,-0.15778027474880219,1.1724247932434082,-0.09699846059083939,0.09699846059083939,1.1724247932434082,0.03312741219997406,119
0,32,affine_ransac,-0.23370613157749176,-0.022538097575306892,1.4569504261016846,-0.03153917193412781,-0.07805812358856201,1.073882818222046,0.02645440213382244,123
0,32,homography_ransac,0.43643835186958313,0.4656696617603302,2.140880584716797,-2.6372411251068115,2.0236849784851074,-2.5872695446014404,0.10944129719360972,73
33,65,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.060951992869377136,119
33,65,translation,0.013539767824113369,-0.010842765681445599,1.0,0.0,0.0,1.0,0.06442983448505402,119
33,65,similarity_ransac,-0.07639742642641068,-0.04332476109266281,1.103456735610962,0.02416282147169113,-0.02416282147169113,1.103456735610962,0.05623643100261688,92
33,65,affine_ransac,-0.3257606029510498,0.1581118255853653,1.5497807264328003,0.06196257099509239,-0.4051148593425751,1.0885841846466064,0.03740278258919716,106
33,65,homography_ransac,-0.06482232362031937,0.3456549644470215,0.9642614722251892,-0.0716652050614357,-0.48930802941322327,0.6235018372535706,0.0389461046515198,109
66,98,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.021935684606432915,132
66,98,translation,-0.019362682476639748,-0.006617787294089794,1.0,0.0,0.0,1.0,0.009967094287276268,132
66,98,similarity_ransac,-0.06347344070672989,-0.1335068941116333,1.1550990343093872,-0.05015406012535095,0.05015406012535095,1.1550990343093872,0.008102551102638245,132
66,98,affine_ransac,-0.31935691833496094,0.027006633579730988,1.6045161485671997,-0.0006738572265021503,-0.11183177679777145,1.033395767211914,0.00373665289953351,132
66,98,homography_ransac,2.580540418624878,2.3854153156280518,-6.694220542907715,-0.8303883671760559,-2.997518539428711,-4.038793087005615,0.003507903566147687,132
99,131,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.026338711380958557,131
99,131,translation,-0.02488182671368122,-0.00256144511513412,1.0,0.0,0.0,1.0,0.011068546213209629,131
99,131,similarity_ransac,0.0020019314251840115,-0.18779617547988892,1.1613295078277588,-0.15647947788238525,0.15647947788238525,1.1613295078277588,0.007916626520454884,131
99,131,affine_ransac,-0.1846560388803482,-0.008111929520964622,1.4086402654647827,-0.05871422216296196,-0.04423820972442627,1.0402095317840576,0.006512538995593786,131
99,131,homography_ransac,-1.750715732574463,-2.7060372829437256,-1.6397508382797241,6.527036666870117,-8.343708992004395,14.096564292907715,0.006360797342705984,131
132,164,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.048361048102378845,130
132,164,translation,-0.030527746304869652,-0.022016238421201706,1.0,0.0,0.0,1.0,0.03857520967721939,130
132,164,similarity_ransac,-0.09449665993452072,-0.10433465987443924,1.1430792808532715,-0.00902259536087513,0.00902259536087513,1.1430792808532715,0.030705241486430168,121
132,164,affine_ransac,-0.19486212730407715,-0.01858382858335972,1.3428990840911865,-0.0012708405265584588,-0.15003767609596252,1.1263346672058105,0.029702743515372276,119
132,164,homography_ransac,0.07766923308372498,0.17015962302684784,0.4061259627342224,-0.06902836263179779,-0.3961223065853119,0.5318526029586792,0.028393534892175457,121
165,197,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.06592241674661636,111
165,197,translation,0.0010961791267618537,-0.016849394887685776,1.0,0.0,0.0,1.0,0.06267596781253815,111
165,197,similarity_ransac,-0.02602361887693405,-0.1727893352508545,1.1649397611618042,-0.11966966092586517,0.11966966092586517,1.1649397611618042,0.060085542500019073,74
165,197,affine_ransac,-0.2328314483165741,-0.08861365169286728,1.4319820404052734,0.02111029624938965,0.05192834511399269,1.0598888397216797,0.04988038167357445,86
165,197,homography_ransac,-0.7235454320907593,-0.23741312325000763,3.0761327743530273,-0.273190438747406,0.47351735830307007,1.323438048362732,0.05415575167739492,85
198,230,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.05458725243806839,106
198,230,translation,0.03347344696521759,-0.009565182030200958,1.0,0.0,0.0,1.0,0.04292016103863716,106
198,230,similarity_ransac,-0.037196073681116104,-0.06866443157196045,1.1007671356201172,0.015632200986146927,-0.015632200986146927,1.1007671356201172,0.03808323293924332,88
198,230,affine_ransac,-0.25688600540161133,0.07845470309257507,1.482133388519287,0.008404980413615704,-0.23752480745315552,1.0677851438522339,0.03488871082663536,94
198,230,homography_ransac,-0.10170461982488632,0.12520496547222137,0.9616836309432983,0.11142385005950928,-0.37853744626045227,1.0098475217819214,0.034508919013241865,92
231,263,no_transform,0.0,0.0,1.0,0.0,0.0,1.0,0.04823089390993118,132
231,263,translation,0.0029421981889754534,-0.0010932160075753927,1.0,0.0,0.0,1.0,0.046778347343206406,132
231,263,similarity_ransac,-0.11224423348903656,-0.15791505575180054,1.2191636562347412,0.01260815653949976,-0.01260815653949976,1.2191636562347412,0.029763439670205116,116
231,263,affine_ransac,-0.26412343978881836,-0.05355267599225044,1.5409761667251587,-0.03168436512351036,-0.004055618308484554,1.0733562707901,0.00514903012663126,132
231,263,homography_ransac,-0.08172066509723663,0.09622054547071457,1.2705761194229126,-0.22401772439479828,0.044375479221343994,0.6371129751205444,0.004857612325429569,132
